	mntsa0	mntsa1	mntsa2	mntsa3	mntsa4	exps0	exps1	exps2	exps3	exps4
73	0.949999988079071	0.5649999976158142	0.762499988079071	0.7850000262260437	0.5306249856948853	2	2	3	2	5
74	0.5649999976158142	0.762499988079071	0.7850000262260437	0.5306249856948853	0.5425000190734863	2	3	2	5	3
75	0.762499988079071	0.7850000262260437	0.5306249856948853	0.5425000190734863	0.9900000095367432	3	2	5	3	2
76	0.7850000262260437	0.5306249856948853	0.5425000190734863	0.9900000095367432	0.5049999952316284	2	5	3	2	3
77	0.5306249856948853	0.5425000190734863	0.9900000095367432	0.5049999952316284	0.8500000238418579	5	3	2	3	2
78	0.5425000190734863	0.9900000095367432	0.5049999952316284	0.8500000238418579	0.9700000286102295	3	2	3	2	2
79	0.9900000095367432	0.5049999952316284	0.8500000238418579	0.9700000286102295	0.9887499809265137	2	3	2	2	4
80	0.5049999952316284	0.8500000238418579	0.9700000286102295	0.9887499809265137	0.6087499856948853	3	2	2	4	4
81	0.8500000238418579	0.9700000286102295	0.9887499809265137	0.6087499856948853	0.9524999856948853	2	2	4	4	4
82	0.9700000286102295	0.9887499809265137	0.6087499856948853	0.9524999856948853	0.8899999856948853	2	4	4	4	2
83	0.9887499809265137	0.6087499856948853	0.9524999856948853	0.8899999856948853	0.8899999856948853	4	4	4	2	2
84	0.6087499856948853	0.9524999856948853	0.8899999856948853	0.8899999856948853	0.5299999713897705	4	4	2	2	2
85	0.9524999856948853	0.8899999856948853	0.8899999856948853	0.5299999713897705	0.9850000143051147	4	2	2	2	2
86	0.8899999856948853	0.8899999856948853	0.5299999713897705	0.9850000143051147	0.8224999904632568	2	2	2	2	3
87	0.8899999856948853	0.5299999713897705	0.9850000143051147	0.8224999904632568	0.5074999928474426	2	2	2	3	3
88	0.5299999713897705	0.9850000143051147	0.8224999904632568	0.5074999928474426	0.5099999904632568	2	2	3	3	2
89	0.9850000143051147	0.8224999904632568	0.5074999928474426	0.5099999904632568	0.9925000071525574	2	3	3	2	3
90	0.8224999904632568	0.5074999928474426	0.5099999904632568	0.9925000071525574	0.5199999809265137	3	3	2	3	2
91	0.5074999928474426	0.5099999904632568	0.9925000071525574	0.5199999809265137	0.6200000047683716	3	2	3	2	4
92	0.5099999904632568	0.9925000071525574	0.5199999809265137	0.6200000047683716	0.9668750166893005	2	3	2	4	5
93	0.9925000071525574	0.5199999809265137	0.6200000047683716	0.9668750166893005	0.5637500286102295	3	2	4	5	4
94	0.5199999809265137	0.6200000047683716	0.9668750166893005	0.5637500286102295	0.6449999809265137	2	4	5	4	2
95	0.6200000047683716	0.9668750166893005	0.5637500286102295	0.6449999809265137	0.6150000095367432	4	5	4	2	2
96	0.9668750166893005	0.5637500286102295	0.6449999809265137	0.6150000095367432	0.8999999761581421	5	4	2	2	2
97	0.5637500286102295	0.6449999809265137	0.6150000095367432	0.8999999761581421	0.7487499713897705	4	2	2	2	5
98	0.6449999809265137	0.6150000095367432	0.8999999761581421	0.7487499713897705	0.6100000143051147	2	2	2	5	2
99	0.6150000095367432	0.8999999761581421	0.7487499713897705	0.6100000143051147	0.6537500023841858	2	2	5	2	4
100	0.8999999761581421	0.7487499713897705	0.6100000143051147	0.6537500023841858	0.7450000047683716	2	5	2	4	2
101	0.7487499713897705	0.6100000143051147	0.6537500023841858	0.7450000047683716	0.6100000143051147	5	2	4	2	5
102	0.6100000143051147	0.6537500023841858	0.7450000047683716	0.6100000143051147	0.6549999713897705	2	4	2	5	2
103	0.6537500023841858	0.7450000047683716	0.6100000143051147	0.6549999713897705	0.6575000286102295	4	2	5	2	3
104	0.7450000047683716	0.6100000143051147	0.6549999713897705	0.6575000286102295	0.7749999761581421	2	5	2	3	2
